후보,종목명,키워드
이재명,상지건설,"{'이재명': 1823, '대단원': 2, '이재용': 2, '뉴스떳': 2, '패가망신': 5, '진행중': 5, '물량넘기': 3, '불나방': 25, '곧나락': 2, '급락': 91, '확정판결': 2, '이명박': 10, '정정당당': 3, '비상계엄': 3, '탈당': 10, '뉴스타파': 4, '법정구속': 5, '윤석렬': 3, '불보듯': 2, '탄핵': 57, '결판': 3, '속보': 98, '이중결합': 2, '나락갔': 2, '급등': 208, '액면가': 6, '블록딜': 5, '흥미진진': 2, '자살골': 2, '출국': 2, '재판정': 3, '각주': 4, '종북': 4, '사형': 9, '사퇴': 19, '단식': 4, '초읽기': 17, '이쯤': 3, '나락가': 19, '입당': 6, '낙마': 2, '자살': 12, '죄멍주': 2, '쌈짓돈': 8, '선고': 33, '이나라': 5, '민노총': 2, '아비규환': 4, '쩜상항까': 2, '사전예약': 2}"
이재명,오리엔트바이오,"{'급락': 5, '탄핵': 39, '공매도': 8, '조갑제닷컴': 2, '사퇴': 2, '이명박': 3, '폭락': 13, '상장폐지': 7, '민주주의': 2, '불량품': 2, '금지': 4, '위법': 3, '주가조작': 5, '종북': 13, '이재명': 439, '파기자판': 4, '죄명': 39, '출마': 7, '부정선거': 4, '악질': 2, '떡수': 5, '탈락': 2, '종목': 23, '공산주의': 6, '나락가': 3, '하락': 24, '사기꾼': 9, '유죄': 3, '이죄': 2, '급등': 19, '나락': 7, '폭망': 3, '조국': 2, '옛말': 2, '패닉': 2, '고발': 4, '취소': 2, '엄벌': 2, '득표': 2, '누가': 13, '전일': 3, '장확': 2, '집값': 3, '사형': 7, '차라리': 2, '강행': 2, '도대체': 7, '지지도': 4, '각주': 14, '원전': 4}"
이재명,웹케시,"{'급락': 18, '급등': 52, '공매도': 20, '종목': 91, '거래량': 25, '요약': 3, '하락': 80, '불매운동': 2, '주식': 103, '주식시장': 2, '폭락': 43, '깜깜무소식': 2, '전일': 2, '상갈라': 2, '폭등': 20, '관망': 3, '주가': 105, '시선집중': 2, '나락가': 4, '물량봐': 2, '자금세탁': 2, '매수': 166, '떡락일듯': 2, '등락': 7, '쿠콘세력': 2, '표집': 2, '거래소': 3, '처줄': 2, '불나방': 3, '지역화폐': 782, '약주': 4, '삼륭물산': 7, '변동성': 3, '등주': 12, '약자': 2, '조폐공사': 8, '연합인포맥스': 2, '분열': 2, '금지': 22, '토큰': 2, '다음주': 34, '주목': 10, '제한': 10, '전한길': 2, '종가벳': 2, '코인': 15, '요망': 2, '화폐개혁': 5, '코스피': 3, '세력': 121}"
이재명,코나아이,"{'폭주기관차': 3, '답글': 201, '게시판글': 2, '신뢰수준': 3, '국민주권': 4, '조폐공사': 2, '개혁개방': 3, '거래량': 44, '정치자금': 2, '참세상': 2, '죄명': 87, '대법원선고': 2, '요약': 16, '언론통제': 2, '출처': 93, '희망사항': 2, '링크': 5, '페북': 3, '댓글': 59, '부동산실명법': 3, '악플': 3, '참여자': 2, '부정부패': 2, '연합인포맥스': 2, '이명박': 23, '스팸과다': 4, '인신공격': 2, '이나라': 5, '참정권': 2, '해킹': 9, '시가총액': 10, '김앤장': 2, '상황보고': 3, '형법': 3, '신의한수': 2, '주가조작': 14, '경호원': 2, '원전': 26, '수익모델': 3, '사법살인': 2, '퍼주기': 2, '총잔량': 2, '공산주의': 12, '음모론자': 2, '김대중': 24, '공매도': 704, '전한길': 3, '공유': 25, '종북': 23, '예시': 8}"
이재명,포바이포,"{'이재명': 698, '이명박': 13, '종북': 19, '적폐': 3, '정신차려라': 3, '헌법학자': 2, '나치당': 4, '도대체': 8, '상황보고': 3, '이냐시오': 3, '김대중': 9, '사퇴': 6, '불공정': 2, '신뢰수준': 5, '공산주의': 9, '세력물량': 3, '선거운동': 14, '독수': 3, '간첩': 16, '차단': 2, '이억원': 2, '패가망신': 4, '물량떠넘기': 2, '누가': 60, '쫄지마': 3, '최태원': 8, '금지': 13, '즉각': 4, '물좀': 2, '탄핵': 28, '나경원': 2, '정부조직': 2, '요즘': 17, '공매도': 27, '빨갱이': 2, '답좀': 2, '포퓰리즘': 2, '도박장': 2, '술수': 2, '요약': 11, '명심': 4, '인신공격': 2, '나락갈듯': 2, '제명': 5, '죄명': 35, '셋팅조정': 2, '껌값': 3, '관셈보살': 2, '월요병': 2, '징역': 2}"
김문수,대영포장,"{'공매도': 44, '급락': 10, '불참': 7, '윤핵관넘들': 4, '이명박': 6, '발주': 3, '이나라': 3, '물량떼기': 2, '단식': 9, '관망': 4, '급등': 36, '하락': 86, '삼천리자전거': 4, '낙마': 2, '시가총액': 5, '종북': 3, '이만': 4, '거래량': 6, '당분간': 6, '이회창': 2, '자살': 2, '사퇴': 74, '종목': 61, '불공정': 2, '강행': 4, '필패': 2, '베팅': 6, '삽질': 2, '패스': 2, '개헌': 33, '김칫국': 3, '박빙': 24, '이재명': 608, '평홀': 52, '김문수': 1470, '결렬': 13, '신뢰수준': 4, '흥미진진': 3, '폭락': 25, '이정희': 2, '김앤장': 2, '선거날': 3, '출정': 4, '떡수': 38, '금주': 2, '개미지옥': 2, '요약': 4, '자타공인': 2, '수용': 4, '중단': 9}"
김문수,윌비스,"{'급락': 4, '종목': 15, '주식시장': 2, '액면가': 3, '급등': 5, '윌비스주': 4, '하락': 19, '이재명': 42, '불나방': 3, '주식': 22, '카운트다운': 4, '코스피': 3, '시작': 17, '폭락': 4, '임찬혁': 2, '표심': 2, '주가': 27, '죄명': 5, '다음주': 2, '보합': 2, '한덕수': 13, '채용': 8, '도대체': 3, '경질': 3, '동전주': 3, '수락': 2, '화이팅': 3, '매수': 13, '악질': 2, '셋다': 2, '무상증자': 2, '돌입': 2, '답글': 2, '주주': 19, '국민연금': 2, '상승': 9, '물량': 5, '가라': 2, '폐가': 2, '운동권': 2, '폭등': 5, '도입': 4, '개미지옥': 3, '윌비스': 85, '더락': 2, '김문수': 62, '축하': 6, '이승우': 2, '반등': 9, '참고': 2}"
김문수,평화산업,"{'급락': 13, '집값땅값': 2, '급등': 40, '주식시장': 5, '하락': 59, '공매도': 5, '관망': 9, '불참': 3, '숙청': 2, '폭락': 22, '등락': 2, '자살': 3, '득세': 2, '추종': 2, '똥값': 3, '애국': 2, '간첩': 10, '초청장': 2, '시가총액': 2, '주식': 70, '주가': 56, '동향': 2, '이브라힘': 17, '폭등': 36, '김종필': 2, '매수': 87, '종목': 16, '하이닉스': 12, '마약': 4, '물량터는거': 2, '평홀': 16, '코스피': 17, '테마주': 27, '투기': 4, '출정': 2, '참전': 2, '외환죄': 5, '양봉': 12, '망국': 2, '단식': 2, '보합': 13, '갤럽': 10, '원전': 16, '말년': 2, '매도': 36, '내란': 39, '동조': 7, '나오니': 2, '탈당': 38, '주도': 4}"
김문수,평화홀딩스,"{'물량정리': 2, '이나라': 33, '물량좀': 4, '요약': 20, '물량털': 2, '나치당': 5, '떡락중': 3, '연합전선': 2, '나락갈': 3, '급락': 77, '윤핵관들': 6, '난공불락': 2, '동문서답': 4, '표심': 225, '자살골': 8, '무자격': 10, '똥값': 2, '격화': 3, '관망': 79, '신의한수': 8, '상잔량': 11, '성지글': 3, '거래량': 17, '종북좌파': 2, '민중당': 3, '물량': 162, '단식': 37, '심략': 2, '격입니': 3, '좌좀': 2, '집결': 25, '진퇴양난': 2, '물량들': 2, '좌빨': 6, '불황': 2, '물량없': 2, '기권': 15, '희망사항': 2, '염산테러': 4, '공산주의': 15, '줄라': 2, '탈곡기': 5, '진중권': 2, '불가피': 24, '뮬량': 2, '횡보후': 2, '국민주권': 2, '숙청': 15, '통가자': 2, '중단': 61}"
김문수,한솔홈데코,"{'이재명': 32, '도대체': 3, '나락갑니': 2, '고발장': 2, '진흙탕': 2, '거래량': 3, '종목': 11, '하락': 11, '죄명': 6, '액면가': 8, '중단': 2, '분탕질': 3, '급등': 3, '고발': 2, '김문수': 134, '누가': 4, '속보': 7, '꼴등': 3, '평홀': 2, '한민당': 4, '무려': 2, '거짓말쟁이': 2, '국짐': 2, '동전주': 14, '제안': 2, '정지': 2, '공매도': 4, '작성자': 2, '논란': 5, '개싸움': 2, '청렴': 2, '참고': 3, '탈당': 10, '비상계엄': 4, '난장판': 3, '출마': 3, '당장': 5, '금지': 2, '분열': 3, '답글': 6, '제지': 2, '병법': 3, '제한': 2, '한덕수': 38, '심지어': 3, '막장': 2, '김영삼': 2, '재벌': 2, '수주': 5, '주문': 2}"
