Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name
2000-01-04,3210.0,3495.0,3200.0,3400.0,2615.658203125,47500,004830,덕성
2000-01-05,3310.0,3310.0,2900.0,3000.0,2307.933837890625,91400,004830,덕성
2000-01-06,3100.0,3100.0,2800.0,2805.0,2157.918212890625,119000,004830,덕성
2000-01-07,2810.0,2890.0,2770.0,2770.0,2130.992431640625,67500,004830,덕성
2000-01-10,2810.0,2900.0,2770.0,2780.0,2138.6845703125,289300,004830,덕성
2000-01-11,2780.0,2850.0,2730.0,2800.0,2154.0712890625,101800,004830,덕성
2000-01-12,2780.0,2815.0,2700.0,2760.0,2123.299560546875,103200,004830,덕성
2000-01-13,2700.0,2820.0,2680.0,2715.0,2088.6796875,68700,004830,덕성
2000-01-14,2755.0,2950.0,2720.0,2880.0,2215.6162109375,138700,004830,덕성
2000-01-17,2850.0,2950.0,2800.0,2830.0,2177.15087890625,99400,004830,덕성
2000-01-18,2800.0,2860.0,2700.0,2750.0,2115.605712890625,65400,004830,덕성
2000-01-19,2660.0,2740.0,2600.0,2600.0,2000.2093505859375,99900,004830,덕성
2000-01-20,2600.0,2660.0,2330.0,2385.0,1834.8072509765625,113700,004830,덕성
2000-01-21,2250.0,2460.0,2250.0,2410.0,1854.0400390625,75000,004830,덕성
2000-01-24,2420.0,2580.0,2400.0,2580.0,1984.8231201171875,104200,004830,덕성
2000-01-25,2680.0,2680.0,2550.0,2550.0,1961.74365234375,82200,004830,덕성
2000-01-26,2505.0,2750.0,2505.0,2630.0,2023.28857421875,100300,004830,덕성
2000-01-27,2650.0,2850.0,2650.0,2750.0,2115.605712890625,91700,004830,덕성
2000-01-28,2770.0,2840.0,2660.0,2740.0,2107.912841796875,83200,004830,덕성
2000-01-31,2660.0,2735.0,2630.0,2700.0,2077.14013671875,119800,004830,덕성
2000-02-01,2750.0,2785.0,2640.0,2700.0,2077.14013671875,175100,004830,덕성
2000-02-02,2770.0,2795.0,2690.0,2740.0,2107.912841796875,89200,004830,덕성
2000-02-03,2750.0,2850.0,2720.0,2840.0,2184.84375,116300,004830,덕성
2000-02-04,2840.0,2840.0,2840.0,2840.0,2184.84375,0,004830,덕성
2000-02-07,2840.0,2845.0,2730.0,2760.0,2123.299560546875,84300,004830,덕성
2000-02-08,2700.0,2840.0,2675.0,2735.0,2104.06591796875,87000,004830,덕성
2000-02-09,2700.0,2790.0,2630.0,2630.0,2023.28857421875,122400,004830,덕성
2000-02-10,2600.0,2600.0,2430.0,2500.0,1923.27880859375,78800,004830,덕성
2000-02-11,2500.0,2530.0,2350.0,2400.0,1846.346923828125,119800,004830,덕성
2000-02-14,2400.0,2435.0,2250.0,2290.0,1761.7225341796875,79400,004830,덕성
2000-02-15,2330.0,2450.0,2225.0,2400.0,1846.346923828125,80900,004830,덕성
2000-02-16,2400.0,2760.0,2400.0,2760.0,2123.299560546875,249400,004830,덕성
2000-02-17,2770.0,3150.0,2670.0,3000.0,2307.933837890625,640400,004830,덕성
2000-02-18,3000.0,3250.0,2800.0,3020.0,2323.31982421875,427300,004830,덕성
2000-02-21,2990.0,3400.0,2980.0,3200.0,2461.7958984375,475700,004830,덕성
2000-02-22,3360.0,3680.0,3250.0,3680.0,2831.065185546875,553900,004830,덕성
2000-02-23,4230.0,4230.0,3900.0,3990.0,3069.5517578125,1563700,004830,덕성
2000-02-24,3810.0,4585.0,3560.0,4585.0,3527.2919921875,964300,004830,덕성
2000-02-25,4580.0,5270.0,4500.0,4600.0,3538.8310546875,1252700,004830,덕성
2000-02-28,4600.0,5290.0,4600.0,5290.0,4069.655517578125,1262600,004830,덕성
2000-02-29,5500.0,5990.0,5300.0,5600.0,4308.142578125,813700,004830,덕성
2000-03-01,5600.0,5600.0,5600.0,5600.0,4308.142578125,0,004830,덕성
2000-03-02,5640.0,5850.0,4760.0,4760.0,3661.92138671875,1067000,004830,덕성
2000-03-03,4800.0,4900.0,4060.0,4195.0,3227.260498046875,1066200,004830,덕성
2000-03-06,4200.0,4820.0,4200.0,4820.0,3708.080078125,620800,004830,덕성
2000-03-07,4820.0,5490.0,4660.0,4850.0,3731.158447265625,721700,004830,덕성
2000-03-08,4850.0,4850.0,4335.0,4670.0,3592.68359375,356300,004830,덕성
2000-03-09,4670.0,5090.0,4550.0,4900.0,3769.625732421875,655200,004830,덕성
2000-03-10,4900.0,5080.0,4600.0,4600.0,3538.8310546875,391900,004830,덕성
2000-03-13,4620.0,4950.0,4500.0,4900.0,3769.625732421875,481000,004830,덕성
2000-03-14,4660.0,5630.0,4660.0,5480.0,4215.82568359375,2397900,004830,덕성
2000-03-15,5800.0,5800.0,5150.0,5480.0,4215.82568359375,684000,004830,덕성
2000-03-16,5500.0,5850.0,5240.0,5550.0,4269.677734375,678900,004830,덕성
2000-03-17,5800.0,5800.0,5230.0,5500.0,4231.21142578125,586600,004830,덕성
2000-03-20,5370.0,5480.0,5100.0,5100.0,3923.4873046875,276800,004830,덕성
2000-03-21,4905.0,4905.0,4340.0,4550.0,3500.365478515625,410300,004830,덕성
2000-03-22,4450.0,4670.0,4170.0,4390.0,3377.27587890625,600900,004830,덕성
2000-03-23,4300.0,4610.0,4020.0,4020.0,3092.631591796875,513200,004830,덕성
2000-03-24,4180.0,4280.0,4050.0,4150.0,3192.641845703125,344600,004830,덕성
2000-03-27,4120.0,4770.0,4120.0,4770.0,3669.614501953125,273800,004830,덕성
2000-03-28,4680.0,4800.0,4400.0,4800.0,3692.69384765625,482700,004830,덕성
2000-03-29,4930.0,4930.0,4520.0,4550.0,3500.365478515625,198700,004830,덕성
2000-03-30,4160.0,5080.0,4140.0,5080.0,3908.1005859375,342400,004830,덕성
2000-03-31,4600.0,5030.0,4600.0,5030.0,3869.63427734375,409900,004830,덕성
2000-04-03,5000.0,5090.0,4600.0,4600.0,3538.8310546875,157100,004830,덕성
2000-04-04,4200.0,4500.0,4200.0,4300.0,3308.03759765625,99700,004830,덕성
2000-04-05,4300.0,4300.0,4300.0,4300.0,3308.03759765625,0,004830,덕성
2000-04-06,4130.0,4200.0,3910.0,3955.0,3042.62548828125,392400,004830,덕성
2000-04-07,3830.0,4170.0,3800.0,4000.0,3077.24462890625,196500,004830,덕성
2000-04-10,3800.0,4300.0,3800.0,4070.0,3131.09619140625,269600,004830,덕성
2000-04-11,4010.0,4055.0,3680.0,3680.0,2831.065185546875,183700,004830,덕성
2000-04-12,3570.0,3700.0,3320.0,3440.0,2646.430419921875,320300,004830,덕성
2000-04-13,3440.0,3440.0,3440.0,3440.0,2646.430419921875,0,004830,덕성
2000-04-14,3380.0,3390.0,3250.0,3300.0,2538.726318359375,120900,004830,덕성
2000-04-17,2850.0,3000.0,2805.0,2805.0,2157.918212890625,148000,004830,덕성
2000-04-18,2980.0,3050.0,2840.0,3040.0,2338.70556640625,271800,004830,덕성
2000-04-19,3250.0,3440.0,3090.0,3100.0,2384.864501953125,279700,004830,덕성
2000-04-20,3250.0,3380.0,3160.0,3250.0,2500.26123046875,81700,004830,덕성
2000-04-21,3300.0,3600.0,3210.0,3490.0,2684.89599609375,152700,004830,덕성
2000-04-24,3490.0,3600.0,3330.0,3500.0,2692.58984375,113700,004830,덕성
2000-04-25,3380.0,3500.0,3350.0,3350.0,2577.192626953125,69400,004830,덕성
2000-04-26,3210.0,3550.0,3150.0,3260.0,2507.953857421875,87300,004830,덕성
2000-04-27,3100.0,3250.0,3010.0,3250.0,2500.26123046875,73600,004830,덕성
2000-04-28,3110.0,3330.0,3110.0,3300.0,2538.726318359375,74100,004830,덕성
2000-05-01,3300.0,3300.0,3300.0,3300.0,2538.726318359375,0,004830,덕성
2000-05-02,3300.0,3350.0,3200.0,3300.0,2538.726318359375,80100,004830,덕성
2000-05-03,3100.0,3395.0,3100.0,3310.0,2546.421142578125,74000,004830,덕성
2000-05-04,3250.0,3805.0,3250.0,3805.0,2927.2294921875,579900,004830,덕성
2000-05-05,3805.0,3805.0,3805.0,3805.0,2927.2294921875,0,004830,덕성
2000-05-08,3990.0,4375.0,3920.0,4375.0,3365.736083984375,834500,004830,덕성
2000-05-09,4375.0,4375.0,4375.0,4375.0,3365.736083984375,0,004830,덕성
