Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name
2006-05-11,17333.333984375,17666.666015625,14500.0,15000.0,14884.615234375,19293,009620,삼보산업
2006-05-12,15166.6669921875,17233.333984375,15000.0,17233.333984375,17100.76953125,9692,009620,삼보산업
2006-05-15,19266.666015625,19733.333984375,15566.6669921875,19733.333984375,19581.5390625,14982,009620,삼보산업
2006-05-16,19333.333984375,19333.333984375,16800.0,16800.0,16670.76953125,9371,009620,삼보산업
2006-05-17,17166.666015625,17766.666015625,15333.3330078125,16800.0,16670.76953125,5921,009620,삼보산업
2006-05-18,15400.0,18600.0,14466.6669921875,18600.0,18456.921875,6333,009620,삼보산업
2006-05-19,17000.0,18000.0,16666.666015625,17733.333984375,17596.923828125,4332,009620,삼보산업
2006-05-22,18133.333984375,19266.666015625,15700.0,15700.0,15579.23046875,4118,009620,삼보산업
2006-05-23,16733.333984375,17300.0,14800.0,14800.0,14686.1533203125,1221,009620,삼보산업
2006-05-24,15200.0,16466.666015625,14800.0,16200.0,16075.3837890625,2757,009620,삼보산업
2006-05-25,15533.3330078125,16233.3330078125,15133.3330078125,16000.0,15876.9228515625,717,009620,삼보산업
2006-05-26,14766.6669921875,16333.3330078125,14066.6669921875,14066.6669921875,13958.4619140625,4484,009620,삼보산업
2006-05-29,14066.6669921875,14866.6669921875,12666.6669921875,13133.3330078125,13032.306640625,3891,009620,삼보산업
2006-05-30,12866.6669921875,13133.3330078125,12000.0,12600.0,12503.076171875,3504,009620,삼보산업
2006-06-01,12600.0,13066.6669921875,12000.0,12066.6669921875,11973.845703125,621,009620,삼보산업
2006-06-02,12600.0,12600.0,10900.0,12100.0,12006.9228515625,986,009620,삼보산업
2006-06-05,12266.6669921875,12266.6669921875,11500.0,11733.3330078125,11643.076171875,1155,009620,삼보산업
2006-06-07,11333.3330078125,13466.6669921875,11133.3330078125,11733.3330078125,11643.076171875,1232,009620,삼보산업
2006-06-08,11466.6669921875,11600.0,10866.6669921875,11400.0,11312.3076171875,461,009620,삼보산업
2006-06-09,11666.6669921875,12966.6669921875,11133.3330078125,11533.3330078125,11444.6142578125,1973,009620,삼보산업
2006-06-12,11400.0,12500.0,10800.0,11533.3330078125,11444.6142578125,971,009620,삼보산업
2006-06-13,11533.3330078125,12100.0,10666.6669921875,11666.6669921875,11576.9228515625,752,009620,삼보산업
2006-06-14,11666.6669921875,12333.3330078125,11333.3330078125,11900.0,11808.4609375,122,009620,삼보산업
2006-06-15,11500.0,12533.3330078125,10866.6669921875,11833.3330078125,11742.306640625,2142,009620,삼보산업
2006-06-16,12000.0,12466.6669921875,11033.3330078125,11866.6669921875,11775.384765625,2252,009620,삼보산업
2006-06-19,11866.6669921875,12333.3330078125,11866.6669921875,12266.6669921875,12172.3076171875,1025,009620,삼보산업
2006-06-20,12266.6669921875,14000.0,12266.6669921875,13300.0,13197.6923828125,5121,009620,삼보산업
2006-06-21,13466.6669921875,13833.3330078125,12533.3330078125,13333.3330078125,13230.7685546875,3132,009620,삼보산업
2006-06-22,13400.0,13400.0,12600.0,13266.6669921875,13164.615234375,1767,009620,삼보산업
2006-06-23,13600.0,13666.6669921875,12666.6669921875,13333.3330078125,13230.7685546875,779,009620,삼보산업
2006-06-26,13333.3330078125,13666.6669921875,12200.0,13000.0,12900.0,1469,009620,삼보산업
2006-06-27,13133.3330078125,13333.3330078125,11766.6669921875,12966.6669921875,12866.9228515625,3860,009620,삼보산업
2006-06-28,12966.6669921875,12966.6669921875,12066.6669921875,12733.3330078125,12635.3837890625,830,009620,삼보산업
2006-06-29,12800.0,12800.0,11666.6669921875,11666.6669921875,11576.9228515625,4590,009620,삼보산업
2006-06-30,11666.6669921875,12533.3330078125,11366.6669921875,11900.0,11808.4609375,2055,009620,삼보산업
2006-07-03,11900.0,11900.0,11400.0,11900.0,11808.4609375,2519,009620,삼보산업
2006-07-04,11933.3330078125,12566.6669921875,11400.0,12000.0,11907.6923828125,1748,009620,삼보산업
2006-07-05,12000.0,12266.6669921875,11333.3330078125,11400.0,11312.3076171875,896,009620,삼보산업
2006-07-06,11533.3330078125,11866.6669921875,11400.0,11533.3330078125,11444.6142578125,320,009620,삼보산업
2006-07-07,11400.0,11900.0,11100.0,11333.3330078125,11246.1533203125,344,009620,삼보산업
2006-07-10,11200.0,11500.0,10666.6669921875,11266.6669921875,11180.0,938,009620,삼보산업
2006-07-11,11266.6669921875,11266.6669921875,10733.3330078125,11233.3330078125,11146.9228515625,509,009620,삼보산업
2006-07-12,11133.3330078125,11933.3330078125,10800.0,11933.3330078125,11841.5380859375,4092,009620,삼보산업
2006-07-13,12033.3330078125,12033.3330078125,11133.3330078125,11500.0,11411.5380859375,3183,009620,삼보산업
2006-07-14,11200.0,11966.6669921875,11200.0,11633.3330078125,11543.845703125,911,009620,삼보산업
2006-07-18,11366.6669921875,11733.3330078125,10733.3330078125,11333.3330078125,11246.1533203125,1553,009620,삼보산업
2006-07-19,11133.3330078125,11800.0,11000.0,11500.0,11411.5380859375,1883,009620,삼보산업
2006-07-20,11733.3330078125,11733.3330078125,11000.0,11633.3330078125,11543.845703125,857,009620,삼보산업
2006-07-21,11333.3330078125,11733.3330078125,11300.0,11700.0,11610.0,195,009620,삼보산업
2006-07-24,11400.0,12000.0,11233.3330078125,11866.6669921875,11775.384765625,1851,009620,삼보산업
2006-07-25,11633.3330078125,12266.6669921875,11233.3330078125,11800.0,11709.23046875,2072,009620,삼보산업
2006-07-26,11666.6669921875,12066.6669921875,11166.6669921875,11600.0,11510.7685546875,1472,009620,삼보산업
2006-07-27,11400.0,11900.0,10966.6669921875,11466.6669921875,11378.4619140625,1901,009620,삼보산업
2006-07-28,11200.0,11900.0,10933.3330078125,11666.6669921875,11576.9228515625,1166,009620,삼보산업
2006-07-31,12133.3330078125,12133.3330078125,11233.3330078125,11600.0,11510.7685546875,170,009620,삼보산업
2006-08-01,11466.6669921875,11533.3330078125,11133.3330078125,11333.3330078125,11246.1533203125,128,009620,삼보산업
2006-08-02,11333.3330078125,11333.3330078125,11033.3330078125,11300.0,11213.076171875,114,009620,삼보산업
2006-08-03,11500.0,11633.3330078125,10333.3330078125,11166.6669921875,11080.76953125,911,009620,삼보산업
2006-08-04,11300.0,12000.0,10933.3330078125,11200.0,11113.845703125,840,009620,삼보산업
